,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
36,,Cronos,,,,,,,,
37,,First Digital USD,,,,,,,,
38,,Arweave,,,,,,,,
39,,OKB,,,,,,,,
40,,The Graph,,,,,,,,
41,,Monero,,,,,,,,
42,,Stacks,,,,,,,,
43,,Bittensor,,,,,,,,
44,,Optimism,,,,,,,,
45,,Maker,,,,,,,,
46,,Sui,,,,,,,,
47,,VeChain,,,,,,,,
48,,FLOKI,,,,,,,,
49,,Injective,,,,,,,,
50,,Fantom,,,,,,,,
51,,Bonk,,,,,,,,
52,,Lido DAO,,,,,,,,
53,,Celestia,,,,,,,,
54,,Theta Network,,,,,,,,
55,,THORChain,,,,,,,,
56,,Notcoin,,,,,,,,
57,,Ondo,,,,,,,,
58,,Bitget Token,,,,,,,,
59,,Fetch.ai,,,,,,,,
60,,JasmyCoin,,,,,,,,
61,,Core,,,,,,,,
62,,Pyth Network,,,,,,,,
63,,Aave,,,,,,,,
64,,Algorand,,,,,,,,
65,,Jupiter,,,,,,,,
66,,Sei,,,,,,,,
67,,Beam,,,,,,,,
68,,Gala,,,,,,,,
69,,Ethena,,,,,,,,
70,,Starknet,,,,,,,,
71,,Flow,,,,,,,,
72,,Chiliz,,,,,,,,
73,,Bitcoin SV,,,,,,,,
74,,Axie Infinity,,,,,,,,
75,,dYdX (Native),,,,,,,,
76,,Wormhole,,,,,,,,
77,,SingularityNET,,,,,,,,
78,,BitTorrent [New],,,,,,,,
79,,Flare,,,,,,,,
80,,Quant,,,,,,,,
81,,Akash Network,,,,,,,,
82,,Worldcoin,,,,,,,,
83,,MultiversX,,,,,,,,
84,,Neo,,,,,,,,
85,,Ronin,,,,,,,,
86,,The Sandbox,,,,,,,,
87,,KuCoin Token,,,,,,,,
88,,ORDI,,,,,,,,
89,,Synthetix,,,,,,,,
90,,Pendle,,,,,,,,
91,,Mina,,,,,,,,
92,,Tezos,,,,,,,,
93,,EOS,,,,,,,,
94,,BOOK OF MEME,,,,,,,,
95,,eCash,,,,,,,,
96,,Safe,,,,,,,,
97,,Gnosis,,,,,,,,
98,,Conflux,,,,,,,,
99,,Decentraland,,,,,,,,
100,,Aevo,,,,,,,,
101,,Ethereum Name Service,,,,,,,,
102,,Klaytn,,,,,,,,
103,,AIOZ Network,,,,,,,,
104,,Nexo,,,,,,,,
105,,ApeCoin,,,,,,,,
106,,DOG•GO•TO•THE•MOON,,,,,,,,
107,,GateToken,,,,,,,,
108,,DeXe,,,,,,,,
109,,USDD,,,,,,,,
110,,Livepeer,,,,,,,,
111,,Kava,,,,,,,,
112,,IOTA,,,,,,,,
113,,Axelar,,,,,,,,
114,,MANTRA,,,,,,,,
115,,PancakeSwap,,,,,,,,
116,,Terra Classic,,,,,,,,
117,,Nervos Network,,,,,,,,
118,,Blur,,,,,,,,
119,,Oasis,,,,,,,,
120,,SATS,,,,,,,,
121,,Helium,,,,,,,,
122,,Theta Fuel,,,,,,,,
123,,IoTeX,,,,,,,,
124,,WOO,,,,,,,,
125,,Echelon Prime,,,,,,,,
126,,Manta Network,,,,,,,,
127,,Bitcoin Gold,,,,,,,,
128,,1inch Network,,,,,,,,
129,,Tether Gold,,,,,,,,
130,,ConstitutionDAO,,,,,,,,
131,,Curve DAO Token,,,,,,,,
132,,Memecoin,,,,,,,,
133,,Osmosis,,,,,,,,
134,,XDC Network,,,,,,,,
135,,Ribbon Finance,,,,,,,,
136,,ether.fi,,,,,,,,
137,,Trust Wallet Token,,,,,,,,
138,,FTX Token,,,,,,,,
139,,Arkham,,,,,,,,
140,,Ocean Protocol,,,,,,,,
141,,dYdX (ethDYDX),,,,,,,,
142,,TrueUSD,,,,,,,,
143,,Terra,,,,,,,,
144,,Astar,,,,,,,,
145,,Golem,,,,,,,,
146,,WEMIX,,,,,,,,
147,,Compound,,,,,,,,
148,,GMT,,,,,,,,
149,,SuperVerse,,,,,,,,
150,,Dymension,,,,,,,,
151,,APENFT,,,,,,,,
152,,Enjin Coin,,,,,,,,
153,,Raydium,,,,,,,,
154,,ssv.network,,,,,,,,
155,,Celo,,,,,,,,
156,,Zilliqa,,,,,,,,
157,,0x Protocol,,,,,,,,
158,,Zcash,,,,,,,,
159,,Metis,,,,,,,,
160,,PAX Gold,,,,,,,,
161,,Holo,,,,,,,,
162,,Ankr,,,,,,,,
163,,Reserve Rights,,,,,,,,
164,,MX TOKEN,,,,,,,,
165,,Jito,,,,,,,,
166,,SKALE,,,,,,,,
167,,Galxe,,,,,,,,
168,,cat in a dogs world,,,,,,,,
169,,Aragon,,,,,,,,
170,,Radix,,,,,,,,
171,,Biconomy,,,,,,,,
172,,Rocket Pool,,,,,,,,
173,,PayPal USD,,,,,,,,
174,,SPACE ID,,,,,,,,
175,,Altlayer,,,,,,,,
176,,Arcblock,,,,,,,,
177,,Ravencoin,,,,,,,,
178,,Siacoin,,,,,,,,
179,,Frax Share,,,,,,,,
180,,Pixels,,,,,,,,
181,,Highstreet,,,,,,,,
182,,Yield Guild Games,,,,,,,,
183,,SafePal,,,,,,,,
184,,EthereumPoW,,,,,,,,
185,,aelf,,,,,,,,
186,,Illuvium,,,,,,,,
187,,BinaryX,,,,,,,,
188,,Loopring,,,,,,,,
189,,Qtum,,,,,,,,
190,,Basic Attention Token,,,,,,,,
191,,ZetaChain,,,,,,,,
192,,Dash,,,,,,,,
193,,OriginTrail,,,,,,,,
194,,Polymesh,,,,,,,,
195,,Casper,,,,,,,,
196,,GMX,,,,,,,,
197,,Centrifuge,,,,,,,,
198,,Mask Network,,,,,,,,
199,,Threshold,,,,,,,,
